COM_ACCOUNT#,,COM_COMPANYNAME,,,,COM_LOCKAR,COM_FINANCEDAYS,,AR_TOTAL,,AR_PAID,,Balance,,,L/U,,ML
"4,517.00",,WHITE RIVER DAIRY/STRATFORD,,,,,45,"821,294.86",,,"801,811.90",,"19,482.96",,,,,
"4,632.00",,SADDLE MOUNTAIN RANCH/DAIRY,,,,,40,"320,340.76",,,"320,340.76",,0.00,,,,,
"4,721.00",,FRANK SOUZA DAIRY,,,,Y,45,"71,485.97",,,"60,299.85",,"11,186.12",,,,Y,
"4,766.00",,"MCNEECE BROS OIL CO., INC.",,,,,10,"267,453.32",,,"267,453.32",,0.00,,,,,
"4,819.00",,PROMOTORA AGROPECUARIA,,,,Y,15,"18,583.60",,,"18,560.60",,23.00,,,,Y,
"4,859.00",,AUKEMAN FARMS,,,,,45,"216,554.40",,,"216,554.40",,0.00,,,,,
"4,931.00",,FRANK BORGES DAIRY,,,,,45,"6,100.12",,,"6,100.12",,0.00,,,,,
"4,941.00",,FLINT DAIRY,,,,,45,"176,117.07",,,"1,033,331.98",,"-857,214.91",,,,,
"4,978.00",,LONE STAR,,,,Y,40,"56,209.09",,,"48,247.33",,"7,961.76",,,,Y,
"4,985.00",,CHARLIE TADEMA CATTLE CO.,,,,,45,"242,785.06",,,"238,912.13",,"3,872.93",,,,,
"5,004.00",,PACHECO DAIRY #1 & 2,,,,,40,"49,854.67",,,"49,854.67",,0.00,,,,,
"5,037.00",,MOUNTAIN VIEW DAIRY,,,,,40,"68,262.30",,,"65,908.12",,"2,354.18",,,,,
"5,065.00",,"DOUBLE ""N"" DAIRY",,,,,45,"90,664.55",,,"90,664.57",,-0.02,,,,,
"5,067.00",,MADDOX DAIRY,,,,,60,"531,950.01",,,"531,950.01",,0.00,,,,,
"5,071.00",,MATTOS BROS DAIRY,,,,,45,"53,863.86",,,"53,863.86",,0.00,,,,,
"5,087.00",,EDEN - VALE DAIRY,,,,,40,"47,873.52",,,"47,873.52",,0.00,,,,,
"5,120.00",,MOONSHINE DAIRY,,,,,40,"36,298.35",,,"36,298.35",,0.00,,,,,
"5,189.00",,ARIZONA AG MARKETING,,,,,45,"713,055.03",,,"713,055.03",,0.00,,,,,
"5,222.00",,ROBERT ENDY,,,,Y,30,"51,485.97",,,"51,073.82",,412.15,,,,Y,
"5,230.00",,HEIN & ELLEN HETTINGA/AZTEC,,,,,40,"34,975.00",,,"34,975.00",,0.00,,,,,
"5,273.00",,CLOVERDALE DAIRY/HANFORD,,,,,40,"222,342.48",,,"222,342.48",,0.00,,,,,
"5,300.00",,AMERON PIPE PRODUCTS,,,,,30,0.00,,,0.00,,0.00,,,,,
"5,302.00",,MCGEE,,,,,30,"395,615.38",,,"385,419.78",,"10,195.60",,,,,
"5,308.00",,BORG EQUIPMENT & SUPPLY CO.,,,,,30,"240,477.98",,,"233,667.24",,"6,810.74",,,,,
"5,311.00",,"J-K POLYSOURCE, INC.",,,,Y,30,"159,552.95",,,"159,852.95",,-300.00,,,,Y,
"5,316.00",,MYERS TIRE SUPPLY,,,,,60,"39,224.69",,,"35,686.79",,"3,537.90",,,,,
"5,323.00",,WESTESCO,,,,,30,"14,396.67",,,"14,396.67",,0.00,,,,,
"5,330.00",,SMC,,,,Y,1,492.96,,,492.96,,0.00,,,,,
"5,331.00",,VALLEY VIEW FARMS,,,,Y,40,"141,250.40",,,"122,337.80",,"18,912.60",,,,Y,
"5,333.00",,TESCO-ITALMATIC LLC,,,,,120,"34,230.56",,,"30,855.67",,"3,374.89",,,,,
"5,335.00",,VANDER KOOI,,,,Y,1,0.00,,,0.00,,0.00,,,,,Y
"5,339.00",,NORTHWEST SALES GROUP,,,,,30,"49,072.82",,,"45,917.80",,"3,155.02",,,,,
"5,341.00",,SOAPMAN,,,,,30,"1,044.60",,,"1,044.60",,0.00,,,,,
"5,350.00",,ML BERNIE,,,,,30,"47,525.05",,,"46,079.05",,"1,446.00",,,,,
"5,351.00",,TECH HAWAII,,,,,30,"16,588.23",,,"15,613.54",,974.69,,,,,
"5,354.00",,JERRY ETHINGTON,,,,,40,"77,098.92",,,"77,098.92",,0.00,,,,,
"5,360.00",,LES SCHWAB EQUIPMENT,,,,,30,"27,888.00",,,"27,888.00",,0.00,,,,,
"5,377.00",,PRIER TIRE SUPPLY / GOLDEN,,,,,30,"39,538.67",,,"39,538.67",,0.00,,,,,
"5,408.00",,PARTS & SERVICE,,,,,30,"15,674.92",,,"15,674.92",,0.00,,,,,
"5,412.00",,WESTERN MILLING/GOSHEN,,,,Y,40,"1,483,218.51",,,"1,420,974.14",,"62,244.37",,,,Y,
"5,420.00",,SCOTT BROS. DAIRY,,,,,50,"221,132.68",,,"201,169.29",,"19,963.39",,,,,
"5,421.00",,"TECH, INC.",,,,,30,"349,882.51",,,"336,284.95",,"13,597.56",,,,,
"5,429.00",,NORTHWEST PIPE,,,,,30,301.75,,,301.75,,0.00,,,,,
"5,436.00",,PETE'S ROAD SERVICE INC.,,,,,30,"7,575.60",,,"8,272.91",,-697.31,,,,,
"5,454.00",,WESTWAY FEED PRODUCTS LLC / CA,,,,,30,"2,239.50",,,"2,239.50",,0.00,,,,,
"5,455.00",,"BILL KERR DAIRY, INC.",,,,,45,"157,370.80",,,"152,926.80",,"4,444.00",,,,,
"5,472.00",,EMPIRE CLEANING SUPPLY,,,,,30,"2,646.00",,,"2,646.00",,0.00,,,,,
"5,484.00",,RU-ANN,,,,,30,"137,066.70",,,"137,066.70",,0.00,,,,,
"5,489.00",,GREEN VALLEY FOODS,,,,,40,"1,390,879.16",,,"1,344,904.14",,"45,975.02",,,,,
"5,496.00",,GRANITE CONSTRUCTION COMPANY,,,,,45,"7,906.25",,,"7,906.25",,0.00,,,,,
"5,554.00",,ELKHORN DAIRY,,,,,40,"78,919.68",,,"72,635.03",,"6,284.65",,,,,
"5,576.00",,SIX ROBBLEES,,,,,30,"3,024.00",,,"3,024.00",,0.00,,,,,
"5,595.00",,CAN CLAY CORPORATION,,,,,1,"2,638.08",,,"2,638.08",,0.00,,,,,
"5,617.00",,JENSEN PRECAST /CA,,,,,45,"8,125.00",,,"8,636.88",,-511.88,,,,,
"5,622.00",,FRANK KONYN DAIRY,,,,,50,"517,001.24",,,"465,587.54",,"51,413.70",,,,,
"5,644.00",,ARROYO DAIRY,,,,,50,"105,949.29",,,"103,250.77",,"2,698.52",,,,,
"5,647.00",,DE GROOT DAIRY,,,,,50,"112,874.78",,,"110,664.44",,"2,210.34",,,,,
"5,651.00",,VAZ DAIRY,,,,Y,30,"23,756.44",,,"6,687.68",,"17,068.76",,,,Y,
"5,652.00",,BREEDYK DAIRY,,,,Y,50,"20,510.24",,,"20,510.24",,0.00,,,,Y,
"5,654.00",,CHEYENNE DAIRY,,,,,50,"505,581.74",,,"484,554.74",,"21,027.00",,,,,
"5,657.00",,ROCKHILL DAIRY,,,,,50,"231,836.79",,,"224,632.16",,"7,204.63",,,,,
"5,658.00",,SHAWNEE DAIRY,,,,,40,"199,568.37",,,"194,549.12",,"5,019.25",,,,,
"5,659.00",,COTTONWOOD SPRINGS DAIRY LLC,,,,,50,"157,598.61",,,"147,496.29",,"10,102.32",,,,,
"5,665.00",,WAYNE E. PALLA DAIRY,,,,,45,"1,871.74",,,0.00,,"1,871.74",,,,,
"5,672.00",,W DIAMOND DAIRY,,,,,45,"159,123.66",,,"153,776.04",,"5,347.62",,,,,
"5,673.00",,LAND O' LAKES A/P DEPT,,,,,45,"50,441.05",,,"23,145.75",,"27,295.30",,,,,
"5,674.00",,T J DAIRY,,,,,40,"155,928.16",,,"155,928.16",,0.00,,,,,
"5,682.00",,GOFF DAIRY,,,,,45,"109,767.02",,,"106,989.97",,"2,777.05",,,,,
"5,686.00",,WALTERSCHEID HOLSTEINS,,,,Y,40,"396,563.79",,,"320,200.36",,"76,363.43",,,,Y,
"5,697.00",,BEETSTRA FAMILY DAIRY,,,,Y,45,"236,871.13",,,"217,469.65",,"19,401.48",,,,Y,
"5,717.00",,STRUIKMANS DAIRY,,,,Y,45,"32,930.99",,,"31,276.39",,"1,654.60",,,,Y,
"5,747.00",,LEPRINO FOODS,,,,Y,35,"435,881.06",,,"412,551.98",,"23,329.08",,,,Y,
"5,754.00",,US COMMODITIES,,,,,30,"456,826.63",,,"456,826.63",,0.00,,,,,
"5,788.00",,DO-RENE DAIRY,,,,,45,"167,875.28",,,"167,875.28",,0.00,,,,,
"5,791.00",,BONESTROO & SONS II,,,,,30,531.30,,,531.30,,0.00,,,,,
"5,794.00",,COOPER LEGACY DAIRY,,,,,40,"87,086.36",,,"87,086.36",,0.00,,,,,
"5,795.00",,JAMES IDSINGA DAIRY,,,,,40,"282,291.27",,,"274,241.06",,"8,050.21",,,,,
"5,800.00",,HERITAGE DAIRY-NEW MEXICO,,,,Y,45,"91,785.60",,,"91,785.60",,0.00,,,,Y,
"5,814.00",,RIDGECREST DAIRY,,,,,45,"60,888.92",,,"60,888.92",,0.00,,,,,
"5,844.00",,ARCHER DANIELS MIDLAND.,,,,,30,"218,974.50",,,"218,974.50",,0.00,,,,,
"5,889.00",,TONY MENDONCA & SONS DAIRY,,,,,40,"81,238.95",,,"81,238.95",,0.00,,,,,
"5,923.00",,FORTERRA,,,,,45,"25,214.40",,,"25,214.40",,0.00,,,,,
"5,929.00",,"B.M.K. DISTRIBUTORS, INC",,,,,30,"22,615.82",,,"22,615.82",,0.00,,,,,
"5,974.00",,A & L DAIRY,,,,,45,"63,428.91",,,"61,269.77",,"2,159.14",,,,,
"5,976.00",,DOUBLE L CATTLE,,,,Y,45,"756,538.12",,,"723,218.72",,"33,319.40",,,,Y,
"6,005.00",,MOHAWK RUBBER SALES,,,,,30,"17,939.84",,,"15,939.68",,"2,000.16",,,,,
"6,052.00",,HILLVIEW CATTLE FEEDERS,,,,Y,30,"17,224.20",,,"17,224.20",,0.00,,,,Y,
"6,058.00",,WOODS TECH SUPPLY,,,,,30,"21,665.28",,,"21,665.28",,0.00,,,,,
"6,078.00",,P. VAN DER HOEK,,,,,40,"74,836.14",,,"74,836.14",,0.00,,,,,
"6,098.00",,BOS DAIRY,,,,,50,"84,446.15",,,"83,693.45",,752.70,,,,,
"6,137.00",,ARCHER DANIELS MIDLAND,,,,Y,1,"18,626.96",,,"18,626.96",,0.00,,,,,
"6,167.00",,DEXTER DAIRY,,,,,40,"17,948.37",,,"17,264.37",,684.00,,,,,
"6,168.00",,CREEKSIDE,,,,,40,"80,300.54",,,"77,453.84",,"2,846.70",,,,,
"6,175.00",,SUNRISE FARMS,,,,,30,"14,741.55",,,"14,741.55",,0.00,,,,,
"6,207.00",,EAGLE ROOFING/RIALTO,,,,,60,"198,428.28",,,"213,867.21",,"-15,438.93",,,,,
"6,269.00",,MOYER'S FACTORY-WAREHOUSE,,,,,30,"33,193.38",,,"33,193.38",,0.00,,,,,
"6,278.00",,"VIVION, INC.",,,,,30,"80,574.00",,,"80,574.00",,0.00,,,,,
"6,307.00",,WEST STAR NORTH DAIRY,,,,,40,"1,616,281.77",,,"1,546,783.73",,"69,498.04",,,,,
"6,321.00",,A-1 OIL,,,,,30,"15,139.73",,,"15,139.73",,0.00,,,,,
"6,329.00",,OFFINGA & SON DAIRY,,,,,45,"3,579.92",,,"3,579.92",,0.00,,,,,
"6,350.00",,ALL TIRE,,,,Y,1,"8,846.56",,,"8,887.84",,-41.28,,,,Y,
"6,390.00",,WESTERN STATES OIL CO.,,,,,30,"27,641.60",,,"27,641.60",,0.00,,,,,
"6,397.00",,EL TORO LAND & CATTLE,,,,,30,"2,346,282.56",,,"2,305,706.16",,"40,576.40",,,,,
"6,407.00",,ROBERT VANDER EYK/BAKERY,,,,,45,"109,448.13",,,"109,448.13",,0.00,,,,,
"6,415.00",,RIVERVIEW DAIRY/BAKERY,,,,,40,"24,705.00",,,"24,705.00",,0.00,,,,,
"6,416.00",,J. ROCHA/BAKERY,,,,,40,"49,825.27",,,"49,825.27",,0.00,,,,,
"6,424.00",,"AUBURN TILE, INC.",,,,,30,"7,638.40",,,"8,236.15",,-597.75,,,,,
"6,428.00",,FIVE D SUPPLY,,,,Y,30,"2,739.96",,,"2,739.96",,0.00,,,,Y,Y
"6,430.00",,VALADAO DAIRY,,,,,40,"77,623.98",,,"76,721.10",,902.88,,,,,
"6,433.00",,"FRISIA WEST, LLC.",,,,Y,1,0.00,,,0.00,,0.00,,,,,Y
"6,445.00",,OLD PUEBLO RANCH INC.,,,,,1,"1,536.56",,,"1,536.56",,0.00,,,,,
"6,463.00",,"FOX DAIRY, LTD.",,,,,40,"5,212.00",,,"5,212.00",,0.00,,,,,
"6,481.00",,BAKER COMMODITIES,,,,Y,30,0.00,,,0.00,,0.00,,,,Y,Y
"6,493.00",,CONTECH CONSTRUCTION/PA,,,,,30,"2,017.90",,,"2,017.90",,0.00,,,,,
"6,500.00",,J.D. HEISKELL/RR UNLOAD ACCT,,,,,30,"109,794.18",,,"103,964.06",,"5,830.12",,,,,
"6,593.00",,EVERGREEN FARMS,,,,Y,45,"8,207.28",,,"8,207.28",,0.00,,,,Y,
"6,611.00",,SUPERIOR TIRE,,,,,30,"1,968.75",,,"1,968.75",,0.00,,,,,
"6,627.00",,"SCHAFFNER DAIRY,INC",,,,,45,"1,648,924.21",,,"1,557,250.07",,"91,674.14",,,,,
"6,733.00",,"M.C.I. FOODS, INC.",,,,,30,"4,320.00",,,"4,320.00",,0.00,,,,,Y
